game_result,enemies,enemies_areas,enemies_dice,my_dice,my_areas,border_areas,border_dice,regions,enemies_regions,biggest_region
1,4,30,66,18,4,3,16,1,7,18
1,4,30,66,18,4,3,17,1,7,18
1,4,29,64,18,5,2,12,1,7,18
1,4,29,64,18,5,2,15,1,7,18
1,4,29,64,18,5,2,15,1,7,18
1,4,29,64,18,5,2,15,1,7,18
1,4,29,64,18,5,2,15,1,7,18
1,4,29,64,18,5,2,15,1,7,18
1,4,28,62,18,6,1,7,1,6,18
1,4,27,61,18,7,1,6,1,5,18
1,4,26,56,18,8,2,6,1,5,18
1,4,25,54,18,9,2,5,1,5,18
1,4,24,53,18,10,3,5,1,5,18
1,4,23,52,18,11,4,5,1,5,18
1,4,25,61,26,9,3,6,2,4,26
1,4,25,61,26,9,3,6,2,4,26
1,4,25,61,26,9,3,6,2,4,26
1,4,25,61,26,9,3,6,2,4,26
1,4,25,61,26,9,3,13,2,4,26
1,4,25,61,26,9,3,13,2,4,26
1,4,25,61,26,9,3,13,2,4,26
1,4,24,60,26,10,4,13,2,5,26
1,4,23,57,26,11,5,13,2,5,26
1,4,22,54,26,12,6,13,2,6,26
1,4,21,52,26,13,7,13,2,6,26
1,4,20,50,26,14,8,13,2,6,26
1,4,21,57,37,13,7,18,3,6,37
1,4,21,57,37,13,7,18,3,6,37
1,4,21,57,37,13,7,18,3,6,37
1,4,21,57,37,13,7,18,3,6,37
1,4,21,57,37,13,7,24,3,6,37
1,4,21,57,37,13,7,24,3,6,37
1,4,21,57,37,13,7,24,3,6,37
1,4,20,56,37,14,6,20,2,5,37
1,4,19,53,37,15,6,19,2,5,37
1,4,18,51,37,16,6,18,2,5,37
1,4,17,50,37,17,7,18,2,5,37
1,4,16,49,37,18,5,13,2,4,37
1,4,19,53,44,15,3,8,1,4,44
1,4,19,53,44,15,3,8,1,4,44
1,4,19,53,44,15,3,8,1,4,44
1,4,19,53,44,15,3,8,1,4,44
1,4,19,53,44,15,3,8,1,4,44
1,4,19,53,44,15,3,8,1,4,44
1,4,19,53,44,15,3,8,1,4,44
1,4,19,70,59,15,3,13,1,3,59
1,4,19,70,59,15,3,13,1,3,59
1,4,19,70,59,15,3,13,1,3,59
1,4,19,70,59,15,3,13,1,3,59
1,4,19,70,59,15,3,13,1,3,59
1,4,19,70,59,15,3,13,1,3,59
1,4,19,70,59,15,3,13,1,3,59
1,4,18,68,59,16,4,13,1,3,59
1,4,19,76,71,15,4,15,2,3,71
1,4,19,76,71,15,4,15,2,3,71
1,4,19,76,71,15,4,15,2,3,71
1,4,19,76,71,15,4,15,2,3,71
1,4,19,76,71,15,4,21,2,3,71
1,4,19,76,71,15,4,23,2,3,71
1,4,19,76,71,15,4,23,2,3,71
1,4,19,74,64,15,4,16,2,3,64
1,4,19,72,57,15,4,9,2,3,57
1,4,18,71,57,16,5,9,2,3,57
1,4,17,69,57,17,6,9,2,4,57
1,4,16,67,57,18,7,9,2,5,57
1,4,15,66,57,19,8,9,2,5,57
1,4,21,87,61,13,2,6,1,3,61
1,4,21,87,61,13,2,6,1,3,61
1,4,21,87,61,13,2,6,1,3,61
1,4,21,87,61,13,2,6,1,3,61
1,4,21,87,61,13,2,12,1,3,61
1,4,21,87,61,13,2,13,1,3,61
1,4,21,87,61,13,2,13,1,3,61
1,4,20,81,61,14,2,12,1,3,61
1,4,19,76,61,15,3,12,1,4,61
1,4,18,75,61,16,4,12,1,5,61
1,4,17,73,61,17,4,8,1,4,61
1,4,19,86,72,15,4,14,2,3,72
1,4,19,86,72,15,4,14,2,3,72
1,4,19,86,72,15,4,14,2,3,72
1,4,19,86,72,15,4,14,2,3,72
1,4,19,86,72,15,4,18,2,3,72
1,4,19,86,72,15,4,21,2,3,72
1,4,19,86,72,15,4,24,2,3,72
1,4,18,79,72,16,4,23,2,3,72
1,4,17,75,72,17,4,22,2,3,72
1,4,16,72,72,18,4,21,2,3,72
1,4,15,71,72,19,5,21,2,3,72
1,4,19,82,70,15,3,13,2,3,70
1,4,19,82,70,15,3,13,2,3,70
1,4,19,82,70,15,3,13,2,3,70
1,4,19,82,70,15,3,13,2,3,70
1,4,19,82,70,15,3,15,2,3,70
1,4,19,82,70,15,3,16,2,3,70
1,4,19,82,70,15,3,16,2,3,70
1,4,18,80,70,16,3,15,1,3,70
1,4,17,77,70,17,3,14,1,3,70
1,4,16,74,70,18,4,14,1,4,70
1,4,15,73,70,19,5,14,1,4,70
1,4,14,71,70,20,6,14,1,4,70
1,4,13,69,70,21,6,13,1,4,70
1,4,19,88,78,15,6,22,4,3,78
1,4,19,88,78,15,6,22,4,3,78
1,4,19,88,78,15,6,22,4,3,78
1,4,19,88,78,15,6,22,4,3,78
1,4,19,88,78,15,6,29,4,3,78
1,4,19,88,78,15,6,33,4,3,78
1,4,19,88,78,15,6,33,4,3,78
1,4,18,83,78,16,7,33,4,4,78
1,4,17,82,78,17,6,31,3,4,78
1,4,16,80,78,18,6,30,3,4,78
1,4,15,77,78,19,6,29,2,4,78
1,4,14,75,78,20,5,26,1,4,78
1,4,13,73,78,21,5,25,1,4,78
1,4,13,72,74,21,5,21,1,4,74
1,4,12,71,74,22,5,20,1,4,74
